job title,company name,location,skills,links
Digital Marketing Strategist (Growth Hacker),The Rocket Marketing -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Ads · Digital Marketing · Media Buying · Campaigns · Marketing Campaigns · Digital Marketing Strategy · marketing strategist · Online Marketing,https://wuzzuf.net/jobs/p/o7qxL8INGq95-Digital-Marketing-Strategist-Growth-Hacker-The-Rocket-Marketing-Cairo-Egypt?o=1&l=sp&t=sj&a=marketing|search-v3|hpb
Marketing Manager (Real Estate),Upwyde -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Marketing Strategy · Communication · Digital Marketing · Market Research · Digital · Campaign · marketing plan,https://wuzzuf.net/jobs/p/GO9HzmgDE9s5-Marketing-Manager-Real-Estate-Upwyde-Cairo-Egypt?o=2&l=sp&t=sj&a=marketing|search-v3|hpb
Senior Marketing Manager (Remote),ServerHub -,"Dallas, United States ",Full TimeWork From HomeManager · 5 - 6 Yrs of Exp · Business Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Manager · Marketing manager · Communication · Market Research · Marketing · Sales · Social Media,https://wuzzuf.net/jobs/p/LZlyz0hIZkOx-Senior-Marketing-Manager-Remote-ServerHub-Dallas-United-States?o=3&l=sp&t=sj&a=marketing|search-v3|hpb
Marketing Specialist,Avenue Mall -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Hospitality/Hotels/Food Services · Sales/Retail · Sports and Leisure · Retail · Mall · Shopping · Marketing · Specialist · Events Coordination · Events,https://wuzzuf.net/jobs/p/snBsUwwtTOgT-Marketing-Specialist-Avenue-Mall-Cairo-Egypt?o=4&l=sp&t=sj&a=marketing|search-v3|hpb
Digital Marketing Manager,DEVOPSolution -,"Nasr City, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Branding · Communication · Google Analytics · Marketing · Management · Content · Social Media · Software,https://wuzzuf.net/jobs/p/Qc4k7MrUMXnS-Digital-Marketing-Manager-DEVOPSolution-Cairo-Egypt?o=5&l=sp&t=sj&a=marketing|search-v3|hpb
Marketing Agent,WITHIN EARTH HOLIDAYS -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Marketing · CRM · sales skills · Social Media · Travel · English · Customer Service,https://wuzzuf.net/jobs/p/WqGjlMxKTaTQ-Marketing-Agent-WITHIN-EARTH-HOLIDAYS-Giza-Egypt?o=6&l=sp&t=sj&a=marketing|search-v3|hpb
Digital Marketing Team Leader,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Advertising · campaigns · Communication · Content · Digital · E-Marketing · Leadership,https://wuzzuf.net/jobs/p/lbJYLmmHKd2R-Digital-Marketing-Team-Leader-Cairo-Egypt?o=7&l=sp&t=sj&a=marketing|search-v3|hpb
Marketing Director,Chemical Industries Holding Company (CIHC) -,"Cairo, Egypt ",Full TimeSenior Management · 10+ Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Marketing · communications · media · Business Administration,https://wuzzuf.net/jobs/p/72vVjbNWWeWv-Marketing-Director-Chemical-Industries-Holding-Company-CIHC-Cairo-Egypt?o=8&l=sp&t=sj&a=marketing|search-v3|hpb
Unit Manager – Digital Marketing,Allianz -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Communication · Marketing · Communication skills · Digital · English · media,https://wuzzuf.net/jobs/p/NbFjc0vNPEcM-Unit-Manager-–-Digital-Marketing-Allianz-Cairo-Egypt?o=9&l=sp&t=sj&a=marketing|search-v3|hpb
Marketing Executive,Arabic Trader -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Marketing · Social Media · Media · Administration · Marketing executive · Advertising · Public Relations (PR),https://wuzzuf.net/jobs/p/t7Tgh9DpzgWX-Marketing-Executive-Arabic-Trader-Giza-Egypt?o=10&l=sp&t=sj&a=marketing|search-v3|hpb
Digital Marketing,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Social Media · Marketing · Digital · Graphics · Social · Motion Graphics,https://wuzzuf.net/jobs/p/gI9XQSPP713P-Digital-Marketing-Giza-Egypt?o=11&l=sp&t=sj&a=marketing|search-v3|hpb
Digital Marketing Manager - Cairo,Mobility Pro DMCC -,"Cairo, Egypt ",Full TimeManager · 5 - 8 Yrs of Exp · Marketing/PR/Advertising · Online Marketing · Digital Marketing · Online Marketing Campaigns · Marketing · media · Planning · Google Adwords · E-Marketing · Design,https://wuzzuf.net/jobs/p/o5lDUBUvd5oa-Digital-Marketing-Manager---Cairo-Mobility-Pro-DMCC-Cairo-Egypt?o=12&l=sp&t=sj&a=marketing|search-v3|hpb
